Book,Chapter,Verse,Citations
2 Nephi,31,20,68
Alma,7,12,64
Alma,7,11,61
Moses,1,39,59
Matthew,11,28,52
Doctrine and Covenants,20,77,52
Mosiah,18,9,50
Mosiah,2,41,47
John,3,16,47
Moroni,10,32,47
Mosiah,3,19,46
Matthew,22,37,45
Doctrine and Covenants,84,20,43
Matthew,22,39,43
2 Nephi,31,19,42
Moroni,7,48,40
Joseph Smith—History,1,17,39
Matthew,11,29,39
Matthew,22,38,36
Doctrine and Covenants,6,36,34
2 Nephi,26,33,34
Matthew,11,30,33
John,14,6,33
Moroni,7,47,33
Doctrine and Covenants,14,7,33
Mosiah,18,8,32
2 Nephi,31,21,32
Moroni,10,4,31
John,16,33,31
Moroni,10,5,31
Doctrine and Covenants,19,18,30
2 Nephi,32,3,29
2 Nephi,2,25,29
Doctrine and Covenants,110,16,29
3 Nephi,27,14,28
Helaman,5,12,28
Doctrine and Covenants,110,15,28
Doctrine and Covenants,110,14,28
2 Nephi,31,13,28
2 Nephi,31,18,28
2 Nephi,31,17,28
Ether,12,27,28
3 Nephi,11,11,28
Alma,5,14,28
3 Nephi,11,29,27
Mosiah,5,2,27
2 Nephi,2,8,27
Doctrine and Covenants,84,38,27
Doctrine and Covenants,110,13,26
Mosiah,24,14,26
Proverbs,3,5,26
Matthew,22,36,26
Doctrine and Covenants,110,11,25
3 Nephi,27,20,25
Mosiah,2,17,25
3 Nephi,11,32,25
3 Nephi,11,38,24
2 Nephi,28,30,24
2 Nephi,2,27,24
Alma,7,13,24
3 Nephi,11,33,24
Matthew,22,40,23
Doctrine and Covenants,122,7,23
James,1,5,23
Matthew,25,40,23
Doctrine and Covenants,1,38,23
3 Nephi,27,19,23
3 Nephi,11,36,23
Doctrine and Covenants,20,79,23
Doctrine and Covenants,84,21,22
Abraham,3,25,22
3 Nephi,11,35,22
2 Nephi,31,7,22
Moroni,10,33,22
3 Nephi,11,39,22
Doctrine and Covenants,58,42,22
2 Nephi,25,26,22
1 Nephi,3,7,22
2 Nephi,31,12,22
3 Nephi,27,15,22
Alma,5,26,22
3 Nephi,27,27,22
3 Nephi,11,37,22
John,13,34,21
3 Nephi,11,34,21
Doctrine and Covenants,110,12,21
3 Nephi,11,7,21
2 Nephi,2,2,21
2 Nephi,31,14,21
John,14,15,21
Doctrine and Covenants,20,37,21
John,14,26,21
Moses,1,6,21
Doctrine and Covenants,109,22,21
Moroni,6,4,21
3 Nephi,11,14,21
3 Nephi,11,10,21
3 Nephi,11,15,20
3 Nephi,11,30,20
3 Nephi,11,31,20
Alma,42,8,20
2 Nephi,31,6,20
Doctrine and Covenants,121,7,20
Mosiah,24,15,20
2 Nephi,25,23,20
Doctrine and Covenants,110,3,20
Doctrine and Covenants,84,19,20
3 Nephi,9,20,20
2 Nephi,31,16,20
2 Nephi,31,15,20
Alma,32,41,20
2 Nephi,31,10,20
2 Corinthians,5,17,20
Mosiah,18,10,19
Doctrine and Covenants,121,41,19
Romans,8,17,19
Doctrine and Covenants,84,88,19
Romans,8,16,19
Proverbs,3,6,19
Doctrine and Covenants,110,4,19
Alma,36,18,19
Matthew,25,21,19
Luke,15,20,19
2 Nephi,31,5,19
Doctrine and Covenants,110,7,18
Moroni,7,16,18
2 Nephi,31,11,18
Alma,32,27,18
2 Nephi,31,9,18
Abraham,3,27,18
Doctrine and Covenants,64,33,18
3 Nephi,9,14,18
Doctrine and Covenants,59,23,18
John,17,21,18
3 Nephi,11,28,18
3 Nephi,11,17,18
2 Nephi,2,11,18
John,17,3,18
3 Nephi,27,13,18
2 Nephi,31,3,18
Doctrine and Covenants,19,19,18
Alma,37,6,18
Doctrine and Covenants,121,45,18
Luke,15,4,18
Doctrine and Covenants,110,2,18
John,14,27,18
3 Nephi,27,16,18
Alma,34,32,17
John,8,12,17
3 Nephi,11,40,17
John,3,17,17
Doctrine and Covenants,88,63,17
Matthew,25,35,17
Luke,22,42,17
Moses,7,18,17
Doctrine and Covenants,121,8,17
2 Nephi,31,2,17
Alma,36,19,17
Doctrine and Covenants,121,1,17
2 Nephi,2,7,17
Alma,32,42,17
Matthew,7,7,17
Doctrine and Covenants,110,9,17
1 Nephi,14,14,17
Acts,10,38,17
John,13,35,17
Mosiah,18,21,17
2 Nephi,31,8,17
Alma,32,28,17
Alma,5,13,17
Ephesians,1,10,17
Moroni,7,13,17
Matthew,28,19,16
Moroni,4,3,16
Alma,5,33,16
Isaiah,61,3,16
Isaiah,53,4,16
3 Nephi,11,9,16
Mosiah,5,7,16
3 Nephi,11,8,16
3 Nephi,27,21,16
Doctrine and Covenants,110,6,16
Doctrine and Covenants,110,1,16
Doctrine and Covenants,110,5,16
Luke,15,17,16
Philippians,4,7,16
Alma,41,10,16
Alma,36,17,16
Romans,8,28,16
3 Nephi,11,16,16
Doctrine and Covenants,20,53,16
1 Corinthians,15,22,16
3 Nephi,11,3,16
2 Nephi,32,5,16
2 Nephi,26,24,16
Luke,4,18,16
Doctrine and Covenants,110,10,16
1 Nephi,11,22,16
Moses,6,57,16
Alma,36,20,16
2 Nephi,31,4,16
Doctrine and Covenants,88,6,16
Isaiah,53,5,15
Doctrine and Covenants,11,12,15
Doctrine and Covenants,59,9,15
3 Nephi,11,22,15
Matthew,25,36,15
Alma,34,31,15
1 Nephi,4,6,15
John,15,12,15
Alma,32,43,15
Doctrine and Covenants,81,5,15
Doctrine and Covenants,19,23,15
Jacob,4,13,15
1 Nephi,11,21,15
Doctrine and Covenants,121,46,15
Alma,42,15,15
Doctrine and Covenants,19,16,15
Doctrine and Covenants,110,8,15
Hebrews,12,2,15
Doctrine and Covenants,132,19,15
Moroni,7,27,14
Alma,34,16,14
3 Nephi,11,12,14
Doctrine and Covenants,45,26,14
Moroni,7,28,14
3 Nephi,11,13,14
Enos,1,3,14
3 Nephi,11,25,14
3 Nephi,11,21,14
Alma,32,37,14
3 Nephi,11,24,14
3 Nephi,11,23,14
3 Nephi,11,41,14
Doctrine and Covenants,8,2,14
Moses,6,59,14
Doctrine and Covenants,122,8,14
Mosiah,15,7,14
Helaman,3,35,14
Luke,15,13,14
Luke,18,22,14
3 Nephi,27,17,14
Luke,15,5,14
Mosiah,24,13,14
Matthew,5,44,14
3 Nephi,27,18,14
Alma,5,12,14
Philippians,4,13,14
Mosiah,27,25,14
Omni,1,26,14
Doctrine and Covenants,18,10,14
3 Nephi,11,6,14
Matthew,25,34,14
1 Nephi,8,28,14
3 Nephi,17,21,14
3 Nephi,17,7,14
Doctrine and Covenants,11,13,14
1 Nephi,8,12,14
Doctrine and Covenants,76,69,14
3 Nephi,11,26,14
3 Nephi,11,27,14
Doctrine and Covenants,78,18,14
Alma,36,3,14
Doctrine and Covenants,138,56,13
John,4,10,13
Enos,1,6,13
Moroni,7,12,13
Moroni,7,19,13
Moroni,7,41,13
Luke,15,12,13
Luke,15,16,13
Mosiah,26,30,13
Luke,15,18,13
Matthew,5,48,13
Alma,42,23,13
Luke,15,6,13
Doctrine and Covenants,18,13,13
Luke,15,24,13
Luke,15,11,13
Luke,15,14,13
Luke,15,15,13
Doctrine and Covenants,76,24,13
4 Nephi,1,15,13
Alma,42,13,13
Doctrine and Covenants,123,12,13
Luke,15,21,13
1 Nephi,11,17,13
John,15,10,13
4 Nephi,1,16,13
Luke,15,23,13
Luke,15,22,13
Matthew,5,16,13
Luke,15,19,13
Doctrine and Covenants,130,22,13
1 Nephi,8,27,13
3 Nephi,11,4,13
Matthew,25,37,13
2 Nephi,2,26,13
3 Nephi,11,5,13
Alma,32,38,13
Doctrine and Covenants,58,43,13
3 Nephi,11,2,13
3 Nephi,11,1,13
3 Nephi,11,20,13
Abraham,3,26,13
Moses,1,7,13
Matthew,25,38,13
Matthew,26,39,13
Alma,34,33,13
Articles of Faith,1,3,13
3 Nephi,11,18,13
3 Nephi,11,19,13
Romans,8,39,13
Moroni,7,46,13
Ephesians,4,13,13
Moroni,6,8,12
Doctrine and Covenants,138,58,12
Doctrine and Covenants,38,27,12
John,6,38,12
1 Nephi,8,26,12
John,8,11,12
Isaiah,61,1,12
3 Nephi,17,9,12
3 Nephi,18,24,12
3 Nephi,9,22,12
Moroni,7,44,12
1 Samuel,16,7,12
Joseph Smith—History,1,16,12
John,4,14,12
Luke,15,31,12
Luke,15,30,12
Luke,15,29,12
Doctrine and Covenants,20,51,12
Amos,3,7,12
Luke,22,44,12
Mosiah,4,3,12
2 Peter,1,4,12
Doctrine and Covenants,13,1,12
2 Corinthians,12,9,12
Luke,15,28,12
Luke,15,27,12
Luke,15,26,12
Luke,15,25,12
Luke,15,32,12
Doctrine and Covenants,21,5,12
John,17,22,12
Ephesians,4,14,12
Romans,8,38,12
Romans,8,35,12
Acts,3,21,12
2 Nephi,2,6,12
Doctrine and Covenants,45,57,12
Revelation,21,4,12
Doctrine and Covenants,121,42,12
Moses,6,34,12
Doctrine and Covenants,88,13,12
Doctrine and Covenants,50,24,12
Doctrine and Covenants,18,11,12
Doctrine and Covenants,20,9,12
Alma,36,21,12
Alma,34,10,12
Moses,6,60,12
Doctrine and Covenants,20,54,12
1 Nephi,15,24,12
Moses,1,3,12
Moses,1,4,12
Moses,1,12,12
Matthew,25,39,12
Doctrine and Covenants,109,15,12
Moses,1,13,12
Abraham,2,11,12
2 Nephi,2,16,12
2 Corinthians,3,3,11
John,4,9,11
Isaiah,53,3,11
John,4,23,11
Doctrine and Covenants,45,4,11
Alma,5,15,11
Doctrine and Covenants,93,2,11
1 Corinthians,12,23,11
Doctrine and Covenants,25,10,11
Doctrine and Covenants,20,31,11
Alma,42,16,11
Doctrine and Covenants,20,34,11
Jacob,5,72,11
Doctrine and Covenants,20,28,11
Matthew,25,20,11
Matthew,25,22,11
2 Nephi,2,24,11
Moroni,7,17,11
Enos,1,5,11
Enos,1,4,11
Alma,34,14,11
Alma,34,15,11
Matthew,25,19,11
Matthew,25,17,11
Doctrine and Covenants,121,36,11
Doctrine and Covenants,20,33,11
Matthew,25,14,11
Moses,6,58,11
Doctrine and Covenants,20,32,11
Matthew,16,24,11
Doctrine and Covenants,20,59,11
Doctrine and Covenants,76,22,11
Matthew,25,28,11
Matthew,7,8,11
Matthew,25,16,11
Matthew,25,27,11
Alma,32,39,11
Alma,32,30,11
Moroni,7,45,11
Moroni,7,25,11
Doctrine and Covenants,4,2,11
Doctrine and Covenants,84,36,11
1 Nephi,8,11,11
3 Nephi,12,48,11
Doctrine and Covenants,84,44,11
Doctrine and Covenants,6,23,11
Moroni,10,3,11
Joseph Smith—History,1,12,11
Moroni,8,26,11
Doctrine and Covenants,64,34,11
Doctrine and Covenants,68,25,11
Doctrine and Covenants,84,37,11
Doctrine and Covenants,27,12,11
Doctrine and Covenants,93,24,11
Doctrine and Covenants,58,28,11
1 Corinthians,12,31,11
Moroni,6,5,11
Enos,1,8,11
Enos,1,1,11
Ether,12,4,11
1 Corinthians,12,12,11
Moroni,7,3,11
1 Corinthians,12,22,11
Matthew,25,18,11
Doctrine and Covenants,122,9,11
2 Nephi,9,18,11
Matthew,25,15,11
Matthew,25,12,11
Matthew,25,25,11
Matthew,25,24,11
Doctrine and Covenants,19,17,11
Matthew,25,26,11
Doctrine and Covenants,76,43,11
Doctrine and Covenants,1,15,11
Isaiah,9,6,11
Matthew,5,9,11
Doctrine and Covenants,20,29,11
Doctrine and Covenants,20,47,11
Matthew,25,23,11
Alma,40,23,10
1 Nephi,11,33,10
Mosiah,4,11,10
2 Timothy,3,2,10
John,4,26,10
Luke,10,30,10
Doctrine and Covenants,21,6,10
Matthew,5,14,10
Luke,15,2,10
John,4,11,10
1 Nephi,11,25,10
Jacob,4,14,10
John,4,13,10
John,4,12,10
Luke,10,33,10
John,4,22,10
John,4,21,10
3 Nephi,17,20,10
Romans,8,18,10
Enos,1,7,10
Matthew,28,20,10
Doctrine and Covenants,58,27,10
Doctrine and Covenants,84,22,10
3 Nephi,17,10,10
1 Nephi,8,10,10
Doctrine and Covenants,84,33,10
3 Nephi,18,12,10
Mark,2,5,10
Isaiah,40,31,10
Mosiah,5,15,10
Doctrine and Covenants,138,55,10
Doctrine and Covenants,84,46,10
Moroni,7,24,10
Doctrine and Covenants,84,35,10
1 Corinthians,12,26,10
Joseph Smith—History,1,13,10
2 Timothy,3,1,10
John,4,20,10
2 Nephi,31,1,10
1 Corinthians,12,24,10
1 Corinthians,12,25,10
3 Nephi,17,17,10
Alma,32,40,10
Articles of Faith,1,13,10
John,4,8,10
John,4,7,10
Alma,34,8,10
Alma,32,29,10
Doctrine and Covenants,109,24,10
Doctrine and Covenants,138,31,10
Doctrine and Covenants,138,32,10
Doctrine and Covenants,138,33,10
Luke,15,7,10
2 Nephi,1,15,10
2 Nephi,9,10,10
Matthew,25,29,10
Matthew,25,30,10
Doctrine and Covenants,18,15,10
John,4,15,10
John,15,13,10
Moses,6,62,10
Revelation,7,17,10
Doctrine and Covenants,88,91,10
Moses,1,5,10
Moses,1,10,10
Moses,1,9,10
Moses,1,8,10
Luke,8,43,10
Luke,8,44,10
Doctrine and Covenants,1,16,10
Doctrine and Covenants,1,17,10
Doctrine and Covenants,1,14,10
3 Nephi,27,7,10
John,14,18,10
4 Nephi,1,17,10
Doctrine and Covenants,76,41,10
Doctrine and Covenants,76,42,10
Doctrine and Covenants,109,21,10
Alma,26,13,10
Alma,36,24,10
Alma,36,26,10
2 Nephi,10,24,10
Doctrine and Covenants,137,9,10
Alma,31,5,10
Abraham,2,8,10
Matthew,25,8,10
Helaman,5,11,10
2 Nephi,9,12,10
Doctrine and Covenants,20,19,10
Matthew,14,31,10
Doctrine and Covenants,20,46,10
Matthew,25,11,10
Matthew,25,10,10
Abraham,2,10,10
Abraham,2,9,10
1 Corinthians,15,21,10
Doctrine and Covenants,107,19,10
1 Corinthians,12,18,10
Doctrine and Covenants,76,79,10
Moses,5,11,10
Alma,42,14,10
Doctrine and Covenants,121,35,10
Alma,34,17,10
1 Corinthians,12,21,10
1 Corinthians,12,20,10
1 Corinthians,12,19,10
1 Corinthians,12,17,10
1 Corinthians,12,16,10
1 Corinthians,12,15,10
1 Corinthians,12,14,10
Ephesians,2,19,10
1 Corinthians,12,13,9
Moroni,7,42,9
Moroni,7,15,9
Moroni,7,18,9
Moroni,7,22,9
Alma,34,28,9
Doctrine and Covenants,101,16,9
Doctrine and Covenants,76,89,9
Doctrine and Covenants,76,94,9
Romans,8,36,9
Matthew,25,6,9
Matthew,25,7,9
Doctrine and Covenants,123,17,9
Doctrine and Covenants,128,18,9
Moses,5,10,9
Moses,4,3,9
Moses,5,5,9
Jacob,5,71,9
Matthew,25,1,9
Matthew,25,2,9
Matthew,25,32,9
Matthew,25,33,9
Matthew,25,9,9
Doctrine and Covenants,76,53,9
Helaman,5,30,9
John,15,4,9
Doctrine and Covenants,115,4,9
Doctrine and Covenants,115,6,9
Luke,2,52,9
Doctrine and Covenants,121,2,9
2 Nephi,2,14,9
Matthew,25,3,9
Matthew,25,4,9
Doctrine and Covenants,131,1,9
Doctrine and Covenants,131,2,9
Doctrine and Covenants,131,3,9
Alma,42,9,9
Alma,42,11,9
Moses,4,2,9
Doctrine and Covenants,20,17,9
Doctrine and Covenants,20,18,9
2 Nephi,9,21,9
Matthew,14,27,9
Matthew,14,29,9
Matthew,14,30,9
Matthew,16,16,9
Alma,36,25,9
Alma,36,27,9
Doctrine and Covenants,20,30,9
Doctrine and Covenants,20,4,9
Doctrine and Covenants,88,73,9
Moses,1,20,9
Alma,34,9,9
Matthew,25,31,9
Alma,5,46,9
Doctrine and Covenants,18,16,9
1 John,4,19,9
John,14,16,9
John,4,16,9
John,4,17,9
John,4,18,9
Alma,5,7,9
Moses,7,33,9
Mosiah,24,12,9
Alma,42,22,9
Doctrine and Covenants,76,23,9
Doctrine and Covenants,20,55,9
Doctrine and Covenants,20,57,9
Doctrine and Covenants,45,5,9
2 Kings,5,13,9
Doctrine and Covenants,20,78,9
Doctrine and Covenants,109,13,9
Alma,42,24,9
Luke,10,34,9
Luke,10,35,9
Isaiah,1,18,9
1 Nephi,1,1,9
Doctrine and Covenants,109,8,9
Joseph Smith—History,1,19,9
Joseph Smith—History,1,33,9
Abraham,3,24,9
Joseph Smith—History,1,39,9
Doctrine and Covenants,138,17,9
Moroni,10,30,9
Doctrine and Covenants,20,75,9
Alma,36,12,9
Matthew,5,15,9
Luke,8,46,9
Luke,8,48,9
Doctrine and Covenants,84,85,9
Alma,32,16,9
Alma,32,21,9
Doctrine and Covenants,1,20,9
Doctrine and Covenants,1,21,9
Isaiah,49,16,9
Alma,42,5,9
Alma,42,6,9
Alma,42,7,9
Alma,36,13,9
Alma,36,16,9
2 Corinthians,12,7,9
Articles of Faith,1,4,9
John,4,24,9
John,4,25,9
3 Nephi,18,7,9
3 Nephi,18,32,9
Luke,23,34,9
3 Nephi,17,16,9
Alma,32,31,9
Alma,32,32,9
Alma,32,33,9
Galatians,5,22,9
1 Nephi,8,24,9
John,4,19,9
Joseph Smith—History,1,11,9
Joseph Smith—History,1,14,9
Joseph Smith—History,1,15,9
Moroni,10,8,9
Alma,33,23,9
Moroni,5,2,9
Mark,2,4,9
Isaiah,41,10,9
Doctrine and Covenants,1,35,9
3 Nephi,17,22,9
John,6,67,9
John,6,68,9
Mark,2,3,9
Alma,34,18,9
Doctrine and Covenants,93,40,9
Moroni,7,29,9
Job,38,7,9
Isaiah,61,2,9
Doctrine and Covenants,84,34,9
Mosiah,5,13,9
1 Corinthians,12,27,9
Doctrine and Covenants,138,57,9
Moroni,7,4,9
Romans,8,37,9
Doctrine and Covenants,107,18,8
Doctrine and Covenants,18,12,8
Hebrews,4,15,8
Ephesians,4,12,8
Romans,8,31,8
2 Nephi,26,25,8
1 Nephi,15,18,8
Doctrine and Covenants,138,34,8
Doctrine and Covenants,138,29,8
Joseph Smith—History,1,25,8
Doctrine and Covenants,76,77,8
Doctrine and Covenants,76,75,8
Doctrine and Covenants,76,70,8
Joseph Smith—History,1,10,8
Romans,8,15,8
Matthew,5,45,8
Alma,5,11,8
Doctrine and Covenants,20,7,8
Doctrine and Covenants,109,2,8
2 Nephi,28,21,8
Doctrine and Covenants,109,23,8
Doctrine and Covenants,132,20,8
John,17,20,8
Alma,42,25,8
John,1,9,8
Moroni,7,33,8
Moroni,7,26,8
Moroni,7,9,8
Moroni,7,8,8
